Variable,areaTotalSum,areaNormalSum,areaElevatorSum,areaDeprivedSum
ambuLowArea,1312247054,556769199.8,319964608.10899997,248642295.76399997
ambuHighArea,1369866271.382571,587821856,278698484.57799995,322667504.5
povertyLowArea,1340877755,266952728.9,136402419.2,134053328.7
povertyHighArea,1579039666,964215652.7,465026629.1,515693047.24099994
povertyNonArea,4158926018.3018045,1606526336,750365328.4620001,864902604.4
