id,Station ID,area,perimeter,CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,B19013001,calculated areas
"0","1",15164894.247381,14925.757219,"214","3",Brooklyn,"021400","3021400",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047021400","4312",5551.99421516000,1808036.30328000011,"78272",25771.323
"0","1",15164894.247381,14925.757219,"216","3",Brooklyn,"021600","3021600",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047021600","4312",6210.27860027000,1810243.95962999994,"37267",89075.133
"0","1",15164894.247381,14925.757219,"218","3",Brooklyn,"021800","3021800",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047021800","4312",5927.27965034000,1698857.11847000010,"66169",115217.298
"0","1",15164894.247381,14925.757219,"220","3",Brooklyn,"022000","3022000",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047022000","4312",6117.08229206000,2091173.05083999992,"44716",193760.525
"0","1",15164894.247381,14925.757219,"222","3",Brooklyn,"022200","3022200",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047022200","4312",5742.17947592000,1896474.10514999996,"48594",176188.314
"0","1",15164894.247381,14925.757219,"224","3",Brooklyn,"022400","3022400",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047022400","4312",5835.73198564000,1890190.80850000004,"57457",175604.628
"0","1",15164894.247381,14925.757219,"226","3",Brooklyn,"022600","3022600",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047022600","4312",5954.07400772000,1680920.33211000008,"79022",63388.738
"0","1",15164894.247381,14925.757219,"228","3",Brooklyn,"022800","3022800",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047022800","4312",6040.54804756000,1801521.33958999999,"40089",16981.144
"0","1",15164894.247381,14925.757219,"229","3",Brooklyn,"022900","3022900",,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047022900","4303",5440.76433702000,1849568.34767000005,"121997",1857.440
"0","1",15164894.247381,14925.757219,"230","3",Brooklyn,"023000","3023000",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047023000","4312",8320.93066065000,1624924.60816000006,"53208",112429.032
"0","1",15164894.247381,14925.757219,"231","3",Brooklyn,"023100","3023100",,Clinton Hill,BK0204,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047023100","4302",5908.87325165000,1716029.92241000012,"150288",46737.515
"0","1",15164894.247381,14925.757219,"232","3",Brooklyn,"023200","3023200",,Borough Park,BK1202,BK12,BK12 Borough Park-Kensington (CD 12 Approximation),"36047023200","4312",7284.63563756000,2436821.27490000008,"62973",146256.752
