GEOID,AmbuRatio,nonWhiteDisabilityRatio,povertyRatio
36005000200,0.06119096509240246,0.9822784810126582,0.14127310061601642
36005000400,0.05497842416493527,0.956964892412231,0.060412338181237014
36005001600,0.10743525480367586,0.9929022082018928,0.1498070793491025
36005001901,0.08172635445362718,0.9137529137529138,0.2860422405876951
36005001902,0.11736590546999469,0.9438596491228071,0.3230429988974642
36005002001,0.15332885003362476,1.0,0.41403272808787267
36005002002,0.09578544061302682,1.0,0.34881238323992525
36005002300,0.15834805653710246,0.9991212653778558,0.47294013695604153
36005002500,0.13948954271534916,0.9788359788359788,0.4448804851944345
36005002701,0.18140929535232383,0.9936948297604036,0.5522935779816514
36005002702,0.124,0.9915764139590855,0.44004044489383215
36005002800,0.2202676864244742,1.0,0.02503369921047564
36005003100,0.06916764361078546,1.0,0.22743259085580306
36005003300,0.10368080921607194,0.9744525547445255,0.5283718277730254
36005003500,0.11336240061554245,0.9537444933920705,0.26827391638881765
36005003700,0.1691842900302115,1.0,0.3770491803278688
36005003800,0.09475465313028765,1.0,0.14665523156089194
36005003900,0.1462157809983897,0.9668914776210914,0.3353235436501533
36005004001,0.0688431511710433,0.9675324675324676,0.1022001419446416
36005004100,0.1431189857950206,1.0,0.4190548780487805
36005004200,0.08016204272035354,0.9803108808290155,0.19550067245384523
36005004300,0.12973165096854453,0.9800166527893422,0.27339155230796647
36005004400,0.09313392250169952,1.0,0.4871969181962384
36005004600,0.16279069767441862,0.9781553398058253,0.6054938632378726
36005004800,0.0753344285379019,0.9560229445506692,0.3020465772759351
36005005001,0.058269441401971524,0.9700934579439252,0.49001331557922767
36005005002,0.036189297865759355,0.9891774891774892,0.4073665984574217
36005005100,0.12322858903265557,0.9914701455092825,0.5006941230911615
36005005200,0.09528741584671155,1.0,0.3785603314344899
36005005300,0.09667224391150772,0.9667553191489362,0.4991568296795953
36005005400,0.07296587926509186,0.9888535031847133,0.2727909011373578
36005005600,0.09909130246646473,0.9457831325301205,0.34919948074426654
36005005902,0.1123213070115725,0.9768160741885626,0.308713410483322
36005006000,0.03700848111025443,1.0,0.2546728971962617
36005006100,0.12435367114788004,0.9333333333333333,0.1288726894038011
36005006200,0.11002091040694868,0.9676113360323887,0.3755830786553
36005006301,0.06826347305389222,0.8763796909492274,0.26928999144568005
36005006400,0.05739795918367347,0.8874296435272045,0.42508978963571065
36005006500,0.06135514849724347,0.8325062034739454,0.5349212034383954
36005006700,0.18164379518961193,1.0,0.5304707097535782
36005006800,0.07139991977537104,1.0,0.34416365824308065
36005006900,0.17195841528519246,0.9727011494252874,0.3826917673503793
36005007000,0.04145077720207254,0.962877030162413,0.2935233160621762
36005007100,0.0811965811965812,1.0,0.17618213660245183
36005007200,0.10119818652849741,0.9385964912280702,0.16301347621367104
36005007300,0.09090909090909091,0.9809885931558935,0.3496045197740113
36005007400,0.12406015037593984,0.9764705882352941,0.19235588972431078
36005007500,0.10644677661169415,1.0,0.3272863568215892
36005007600,0.06557056175376787,0.9621087314662273,0.16381177397125418
36005007700,0.07386888273314866,0.9733333333333334,0.2198056455344748
36005007800,0.082198365646531,0.9501915708812261,0.22802773746169971
36005007900,0.15424781258820208,1.0,0.315714691673771
36005008300,0.06139549055453992,0.9988558352402745,0.17432453060601436
36005008400,0.11632870864461047,0.9981684981684982,0.05193881181074351
36005008500,0.089975635224504,1.0,0.3578353604794641
36005008600,0.14637546468401488,1.0,0.4226779252110977
36005008700,0.0832318928788801,0.9852813852813853,0.4241037376048818
36005008900,0.15301391035548687,1.0,0.1851393188854489
36005009000,0.20016251354279524,0.9752252252252253,0.3680555555555556
36005009200,0.10001678133915086,0.9169811320754717,0.22033898305084745
36005009301,0.09491389667601122,0.926829268292683,0.2653225806451613
36005009600,0.07125796178343949,0.8187134502923976,0.19506369426751594
36005009800,0.1377474984032361,0.9207589285714286,0.18371467025572005
36005011502,0.10066006600660066,0.9731543624161074,0.42381870781099323
36005011701,0.09343936381709742,0.9668508287292817,0.3399602385685885
36005011800,0.04456048738033072,0.5371900826446281,0.1079136690647482
36005011900,0.07587676171746968,0.9818376068376068,0.29650783289817234
36005012101,0.04982311320754717,1.0,0.2958579881656805
