Variable,areaTotalSum,areaNormalSum,areaElevatorSum,areaDeprivedSum
povertyLowArea,"1,340,877,754.86","266,952,728.88","136,402,419.16","134,053,328.71"
povertyHighArea,"3,723,607,342.12",1938676785,"891,084,865.96",1064144040
