CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,DepArea,NormalArea,GEO_ID_x,S1701_C01_001E,S1701_C01_013E,S1701_C01_014E,S1701_C01_015E,S1701_C01_016E,S1701_C01_017E,S1701_C01_018E,S1701_C01_019E,S1701_C01_020E,S1701_C01_021E,S1701_C01_022E,S1701_C01_023E,S1701_C01_024E,S1701_C01_025E,S1701_C01_026E,S1701_C01_038E,S1701_C01_039E,S1701_C01_040E,S1701_C01_041E,S1701_C01_042E,S1701_C01_043E,S1701_C01_044E,S1701_C01_045E,S1701_C02_001E,S1701_C02_013E,S1701_C02_014E,S1701_C02_015E,S1701_C02_016E,S1701_C02_017E,S1701_C02_018E,S1701_C02_019E,S1701_C02_020E,S1701_C02_021E,S1701_C02_022E,S1701_C02_023E,S1701_C02_024E,S1701_C02_025E,S1701_C02_026E,S1701_C02_038E,S1701_C02_039E,S1701_C02_040E,S1701_C02_041E,S1701_C02_042E,S1701_C02_043E,S1701_C02_044E,S1701_C02_045E,GEO_ID_y,S1901_C01_001E,S1901_C01_002E,S1901_C01_003E,S1901_C01_004E,S1901_C01_005E,S1901_C01_006E,S1901_C01_007E,S1901_C01_008E,S1901_C01_009E,S1901_C01_010E,S1901_C01_011E,S1901_C01_012E,S1901_C01_013E,GEO_ID,S1810_C01_001E,S1810_C01_004E,S1810_C01_005E,S1810_C01_006E,S1810_C01_007E,S1810_C01_008E,S1810_C01_009E,S1810_C01_010E,S1810_C01_011E,S1810_C01_012E,S1810_C01_013E,S1810_C01_014E,S1810_C01_015E,S1810_C01_016E,S1810_C01_017E,S1810_C01_018E,S1810_C01_019E,S1810_C01_029E,S1810_C01_039E,S1810_C01_047E,S1810_C01_048E,S1810_C01_049E,S1810_C01_050E,S1810_C01_051E,S1810_C01_052E,S1810_C01_053E,S1810_C01_054E,S1810_C01_055E,S1810_C01_063E,S1810_C02_001E,S1810_C02_004E,S1810_C02_005E,S1810_C02_006E,S1810_C02_007E,S1810_C02_008E,S1810_C02_009E,S1810_C02_010E,S1810_C02_011E,S1810_C02_012E,S1810_C02_019E,S1810_C02_029E,S1810_C02_039E,S1810_C02_047E,S1810_C02_048E,S1810_C02_049E,S1810_C02_050E,S1810_C02_051E,S1810_C02_052E,S1810_C02_053E,S1810_C02_054E,S1810_C02_055E,S1810_C02_063E,DepRatio,NormalRatio,dep_S1810_C01_001E,nor_S1810_C01_001E,dep_S1810_C02_001E,nor_S1810_C02_001E,dep_S1810_C02_047E,nor_S1810_C02_047E,dep_S1810_C02_004E,nor_S1810_C02_004E,dep_S1810_C02_005E,nor_S1810_C02_005E,dep_S1810_C02_006E,nor_S1810_C02_006E,dep_S1810_C02_007E,nor_S1810_C02_007E,dep_S1810_C02_008E,nor_S1810_C02_008E,dep_S1810_C02_009E,nor_S1810_C02_009E,dep_S1810_C02_010E,nor_S1810_C02_010E,dep_S1810_C02_011E,nor_S1810_C02_011E,dep_S1810_C02_012E,nor_S1810_C02_012E,dep_S1701_C01_001E,nor_S1701_C01_001E,dep_S1701_C02_001E,nor_S1701_C02_001E,dep_S1701_C02_013E,nor_S1701_C02_013E,dep_S1701_C02_014E,nor_S1701_C02_014E,dep_S1701_C02_015E,nor_S1701_C02_015E,dep_S1701_C02_016E,nor_S1701_C02_016E,dep_S1701_C02_017E,nor_S1701_C02_017E,dep_S1701_C02_018E,nor_S1701_C02_018E,dep_S1701_C02_019E,nor_S1701_C02_019E,dep_S1701_C02_020E,nor_S1701_C02_020E,dep_S1701_C02_021E,nor_S1701_C02_021E,dep_S1901_C01_001E,nor_S1901_C01_001E,dep_S1901_C01_002E,nor_S1901_C01_002E,dep_S1901_C01_003E,nor_S1901_C01_003E,dep_S1901_C01_004E,nor_S1901_C01_004E,dep_S1901_C01_005E,nor_S1901_C01_005E,dep_S1901_C01_006E,nor_S1901_C01_006E,dep_S1901_C01_007E,nor_S1901_C01_007E,dep_S1901_C01_008E,nor_S1901_C01_008E,dep_S1901_C01_009E,nor_S1901_C01_009E,dep_S1901_C01_010E,nor_S1901_C01_010E,dep_S1901_C01_011E,nor_S1901_C01_011E,dep_S1901_C01_013E,nor_S1901_C01_013E
208.03,5.0,Staten Island,20803.0,5020803.0,,Annadale-Huguenot-Prince's Bay-Woodrow,SI0304,SI03,SI03 South Shore (CD 3 Approximation),36085020803,4503.0,19426.1810221,22624234.2641,4474825.353,4474825.353,1400000US36085020803,7934,7713,0,0,163,0,2,56,234,7481,5133,324,1487,1208,2114,365,986,1158,1252,1252,2070,3026,3606,938,933,0,0,0,0,2,3,62,873,493,76,109,221,87,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36085020803,2543,4.6,2.2,2.5,5.2,1.9,17.7,10.9,10.1,10.1,34.6,117218,168075,1400000US36085020803,7995,7752,22,0,163,0,2,56,7511,243,642,1749,1329,2890,851,534,,,,,1749,4219,1329,2890,1385,851,534,,,894,889,0,0,0,0,2,3,877,14,229,103,402,709,0,254,30,224,455,110,345,438,720,0.197789030150763,0.197789030150763,1581.32329605535,1581.32329605535,176.82339295478212,176.82339295478212,140.23242237689095,140.23242237689095,175.8344478040283,175.8344478040283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395578060301526,0.395578060301526,0.593367090452289,0.593367090452289,173.46097944221916,173.46097944221916,2.769046422110682,2.769046422110682,1569.2581652161537,1569.2581652161537,185.5261102814157,185.5261102814157,184.53716513066186,184.53716513066186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395578060301526,0.395578060301526,0.593367090452289,0.593367090452289,12.262919869347305,12.262919869347305,172.6698233216161,172.6698233216161,502.9775036733903,502.9775036733903,0.9098295386935097,0.9098295386935097,0.4351358663316786,0.4351358663316786,0.4944725753769075,0.4944725753769075,1.0285029567839676,1.0285029567839676,0.37579915728644964,0.37579915728644964,3.5008658336685046,3.5008658336685046,2.1559004286433168,2.1559004286433168,1.997669204522706,1.997669204522706,1.997669204522706,1.997669204522706,6.8435004432164,6.8435004432164,33243.39124258949,33243.39124258949
208.04,5.0,Staten Island,20804.0,5020804.0,,Annadale-Huguenot-Prince's Bay-Woodrow,SI0304,SI03,SI03 South Shore (CD 3 Approximation),36085020804,4503.0,16137.2100063,14324579.9785,7194020.645,7194020.645,1400000US36085020804,5574,4793,43,9,287,0,108,334,599,4345,3991,184,1136,1286,1385,121,337,594,1007,1073,1732,2206,3320,194,161,2,0,31,0,0,0,23,138,151,9,44,81,17,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36085020804,1988,3.1,2.7,7.4,4.5,7.0,14.5,14.8,15.6,15.0,15.2,91379,119863,1400000US36085020804,5574,4793,43,9,287,0,108,334,4345,599,265,943,1009,2137,854,366,,,,,943,3146,1009,2137,1220,854,366,,,752,640,43,0,23,0,0,46,638,2,186,50,193,474,0,270,38,232,204,82,122,308,355,0.502215119451853,0.502215119451853,2799.347075824629,2799.347075824629,377.6657698277935,377.6657698277935,238.04996662017834,238.04996662017834,321.41767644918593,321.41767644918593,21.59525013642968,21.59525013642968,0.0,0.0,11.55094774739262,11.55094774739262,0.0,0.0,0.0,0.0,23.10189549478524,23.10189549478524,320.41324621028224,320.41324621028224,1.004430238903706,1.004430238903706,2799.347075824629,2799.347075824629,97.42973317365949,97.42973317365949,80.85663423174834,80.85663423174834,1.004430238903706,1.004430238903706,0.0,0.0,15.568668703007445,15.568668703007445,0.0,0.0,0.0,0.0,0.0,0.0,11.55094774739262,11.55094774739262,69.30568648435572,69.30568648435572,998.4036574702839,998.4036574702839,1.5568668703007444,1.5568668703007444,1.3559808225200034,1.3559808225200034,3.7163918839437127,3.7163918839437127,2.259968037533339,2.259968037533339,3.5155058361629714,3.5155058361629714,7.282119232051869,7.282119232051869,7.432783767887425,7.432783767887425,7.834555863448907,7.834555863448907,7.533226791777795,7.533226791777795,7.633669815668166,7.633669815668166,60197.01086285746,60197.01086285746
208.05,5.0,Staten Island,20805.0,5020805.0,,Arden Heights-Rossville,SI0303,SI03,SI03 South Shore (CD 3 Approximation),36085020805,4503.0,14763.3489474,12213857.9092,,,1400000US36085020805,6093,5092,12,0,318,0,341,330,598,4814,4525,418,1434,1312,1361,196,301,547,1121,1401,1916,2603,3357,282,250,0,0,12,0,0,20,20,250,262,0,199,47,16,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36085020805,2283,5.2,4.1,2.8,8.5,2.4,10.7,7.5,23.0,21.3,14.5,115825,118305,1400000US36085020805,6093,5092,12,0,318,0,341,330,4814,598,429,752,1126,2475,674,637,,,,,752,3601,1126,2475,1311,674,637,,,762,689,0,0,30,0,21,22,651,81,89,33,362,475,0,232,0,232,243,81,162,251,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208.06,5.0,Staten Island,20806.0,5020806.0,,Arden Heights-Rossville,SI0303,SI03,SI03 South Shore (CD 3 Approximation),36085020806,4503.0,16551.2261216,15801720.5384,,,1400000US36085020806,2774,2250,2,0,304,0,118,100,344,2024,1957,121,531,710,595,78,171,648,791,791,1278,1555,1608,164,73,2,0,19,0,70,0,93,50,152,3,79,28,42,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36085020806,893,3.7,3.4,0.8,0.0,2.0,27.4,20.0,8.6,26.3,7.7,90478,119966,1400000US36085020806,2829,2305,2,0,304,0,118,100,2024,399,77,556,640,1432,72,52,,,,,556,2072,640,1432,124,72,52,,,319,206,2,0,61,0,50,0,206,50,36,73,105,224,0,201,23,178,23,2,21,137,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.0,5.0,Staten Island,21300.0,5021300.0,,Port Richmond,SI0106,SI01,SI01 North Shore (CD 1 Equivalent),36085021300,4501.0,14578.8498177,8432869.65088,,,1400000US36085021300,5288,2092,1137,8,172,0,1504,375,2572,1464,3456,363,1352,619,1122,490,1028,1484,1877,2104,2600,3573,3965,995,390,331,0,19,0,209,46,521,188,617,103,332,68,114,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36085021300,1550,3.1,6.5,8.9,2.8,10.1,13.2,16.8,15.0,19.2,4.4,79938,95645,1400000US36085021300,5288,2092,1137,8,172,0,1504,375,1464,2572,259,1156,1161,2195,399,118,,,,,1156,3356,1161,2195,517,399,118,,,602,377,18,0,5,0,162,40,325,231,81,70,272,287,0,193,29,164,94,63,31,56,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.0,5.0,Staten Island,22300.0,5022300.0,,Mariner's Harbor-Arlington-Graniteville,SI0107,SI01,SI01 North Shore (CD 1 Equivalent),36085022300,4501.0,22768.7286836,7078229.87058,,,1400000US36085022300,2739,886,717,36,91,0,516,493,1163,379,1872,184,599,609,480,439,754,783,902,904,1227,1602,2067,661,285,119,0,0,0,239,18,468,97,315,44,163,67,41,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36085022300,996,10.1,0.7,11.0,6.2,2.7,33.3,7.4,11.2,10.8,6.3,59129,85494,1400000US36085022300,2739,886,717,36,91,0,516,493,379,1163,183,452,646,876,231,351,,,,,452,1522,646,876,582,231,351,,,504,83,81,7,14,0,61,258,76,53,49,26,110,381,0,57,7,50,324,12,312,64,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226.01,5.0,Staten Island,22601.0,5022601.0,,Annadale-Huguenot-Prince's Bay-Woodrow,SI0304,SI03,SI03 South Shore (CD 3 Approximation),36085022601,4503.0,25619.9622056,18760157.851,6227596.239,6227596.239,1400000US36085022601,6908,6048,5,0,141,0,617,97,999,5763,4530,470,1295,917,1848,226,763,896,1142,1159,2183,3028,3381,272,242,5,0,0,0,25,0,25,242,203,133,52,18,0,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36085022601,2324,7.5,2.9,0.3,2.3,10.6,10.7,11.3,11.9,9.7,32.9,117903,144947,1400000US36085022601,6908,6048,5,0,141,0,617,97,5763,999,344,1465,1289,2888,739,183,,,,,1465,4177,1289,2888,922,739,183,,,616,611,5,0,0,0,0,0,611,0,104,13,203,449,0,240,46,194,209,128,81,243,354,0.3319586268123027,0.3319586268123027,2293.170194019387,2293.170194019387,204.48651411637846,204.48651411637846,149.04942343872392,149.04942343872392,202.82672098231694,202.82672098231694,1.6597931340615135,1.6597931340615135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.82672098231694,202.82672098231694,0.0,0.0,2293.170194019387,2293.170194019387,90.29274649294634,90.29274649294634,80.33398768857725,80.33398768857725,1.6597931340615135,1.6597931340615135,0.0,0.0,0.0,0.0,0.0,0.0,8.298965670307567,8.298965670307567,0.0,0.0,8.298965670307567,8.298965670307567,80.33398768857725,80.33398768857725,771.4718487117915,771.4718487117915,2.4896897010922703,2.4896897010922703,0.9626800177556778,0.9626800177556778,0.0995875880436908,0.0995875880436908,0.7635048416682961,0.7635048416682961,3.5187614442104085,3.5187614442104085,3.5519573068916386,3.5519573068916386,3.751132482979021,3.751132482979021,3.9503076590664024,3.9503076590664024,3.219998680079336,3.219998680079336,10.921438822124758,10.921438822124758,48116.40708056284,48116.40708056284
