CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,DepArea,NormalArea,GEO_ID_x,S1701_C01_001E,S1701_C01_013E,S1701_C01_014E,S1701_C01_015E,S1701_C01_016E,S1701_C01_017E,S1701_C01_018E,S1701_C01_019E,S1701_C01_020E,S1701_C01_021E,S1701_C01_022E,S1701_C01_023E,S1701_C01_024E,S1701_C01_025E,S1701_C01_026E,S1701_C01_038E,S1701_C01_039E,S1701_C01_040E,S1701_C01_041E,S1701_C01_042E,S1701_C01_043E,S1701_C01_044E,S1701_C01_045E,S1701_C02_001E,S1701_C02_013E,S1701_C02_014E,S1701_C02_015E,S1701_C02_016E,S1701_C02_017E,S1701_C02_018E,S1701_C02_019E,S1701_C02_020E,S1701_C02_021E,S1701_C02_022E,S1701_C02_023E,S1701_C02_024E,S1701_C02_025E,S1701_C02_026E,S1701_C02_038E,S1701_C02_039E,S1701_C02_040E,S1701_C02_041E,S1701_C02_042E,S1701_C02_043E,S1701_C02_044E,S1701_C02_045E,GEO_ID_y,S1901_C01_001E,S1901_C01_002E,S1901_C01_003E,S1901_C01_004E,S1901_C01_005E,S1901_C01_006E,S1901_C01_007E,S1901_C01_008E,S1901_C01_009E,S1901_C01_010E,S1901_C01_011E,S1901_C01_012E,S1901_C01_013E,GEO_ID,S1810_C01_001E,S1810_C01_004E,S1810_C01_005E,S1810_C01_006E,S1810_C01_007E,S1810_C01_008E,S1810_C01_009E,S1810_C01_010E,S1810_C01_011E,S1810_C01_012E,S1810_C01_013E,S1810_C01_014E,S1810_C01_015E,S1810_C01_016E,S1810_C01_017E,S1810_C01_018E,S1810_C01_019E,S1810_C01_029E,S1810_C01_039E,S1810_C01_047E,S1810_C01_048E,S1810_C01_049E,S1810_C01_050E,S1810_C01_051E,S1810_C01_052E,S1810_C01_053E,S1810_C01_054E,S1810_C01_055E,S1810_C01_063E,S1810_C02_001E,S1810_C02_004E,S1810_C02_005E,S1810_C02_006E,S1810_C02_007E,S1810_C02_008E,S1810_C02_009E,S1810_C02_010E,S1810_C02_011E,S1810_C02_012E,S1810_C02_019E,S1810_C02_029E,S1810_C02_039E,S1810_C02_047E,S1810_C02_048E,S1810_C02_049E,S1810_C02_050E,S1810_C02_051E,S1810_C02_052E,S1810_C02_053E,S1810_C02_054E,S1810_C02_055E,S1810_C02_063E,DepRatio,NormalRatio,dep_S1810_C01_001E,nor_S1810_C01_001E,dep_S1810_C02_001E,nor_S1810_C02_001E,dep_S1810_C02_047E,nor_S1810_C02_047E,dep_S1810_C02_004E,nor_S1810_C02_004E,dep_S1810_C02_005E,nor_S1810_C02_005E,dep_S1810_C02_006E,nor_S1810_C02_006E,dep_S1810_C02_007E,nor_S1810_C02_007E,dep_S1810_C02_008E,nor_S1810_C02_008E,dep_S1810_C02_009E,nor_S1810_C02_009E,dep_S1810_C02_010E,nor_S1810_C02_010E,dep_S1810_C02_011E,nor_S1810_C02_011E,dep_S1810_C02_012E,nor_S1810_C02_012E,dep_S1701_C01_001E,nor_S1701_C01_001E,dep_S1701_C02_001E,nor_S1701_C02_001E,dep_S1701_C02_013E,nor_S1701_C02_013E,dep_S1701_C02_014E,nor_S1701_C02_014E,dep_S1701_C02_015E,nor_S1701_C02_015E,dep_S1701_C02_016E,nor_S1701_C02_016E,dep_S1701_C02_017E,nor_S1701_C02_017E,dep_S1701_C02_018E,nor_S1701_C02_018E,dep_S1701_C02_019E,nor_S1701_C02_019E,dep_S1701_C02_020E,nor_S1701_C02_020E,dep_S1701_C02_021E,nor_S1701_C02_021E,dep_S1901_C01_001E,nor_S1901_C01_001E,dep_S1901_C01_002E,nor_S1901_C01_002E,dep_S1901_C01_003E,nor_S1901_C01_003E,dep_S1901_C01_004E,nor_S1901_C01_004E,dep_S1901_C01_005E,nor_S1901_C01_005E,dep_S1901_C01_006E,nor_S1901_C01_006E,dep_S1901_C01_007E,nor_S1901_C01_007E,dep_S1901_C01_008E,nor_S1901_C01_008E,dep_S1901_C01_009E,nor_S1901_C01_009E,dep_S1901_C01_010E,nor_S1901_C01_010E,dep_S1901_C01_011E,nor_S1901_C01_011E,dep_S1901_C01_013E,nor_S1901_C01_013E
259.02,3.0,Brooklyn,25902.0,3025902.0,,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),36047025902,4303.0,3211.23589623,642013.985884,28195.906,642013.986,1400000US36047025902,3507,232,2058,26,44,0,1042,105,1568,0,1880,538,631,347,364,1026,1900,2108,2508,2630,3400,3507,3507,1537,128,1118,0,0,0,208,83,424,0,764,230,165,121,248,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36047025902,1431,29.1,12.5,11.3,13.5,15.7,11.3,6.6,0.0,0.0,0.0,21674,28004,1400000US36047025902,3530,255,2058,26,44,0,1042,105,0,1591,199,854,894,1353,93,137,,,,,854,2247,894,1353,230,93,137,,,643,69,212,26,0,0,238,98,0,382,93,220,184,440,0,281,32,249,159,62,97,137,363,0.04391789995225194,1.0000000001806815,155.03018683144936,3530.0000006378054,28.239209669298,643.0000001161782,19.323875978990852,440.00000007949984,3.0303350967053837,69.00000001246703,9.310594789877412,212.00000003830448,1.1418653987585505,26.000000004697718,0.0,0.0,0.0,0.0,10.452460188635962,238.0000000430022,4.30395419532069,98.00000001770678,0.0,0.0,16.77663778176024,382.0000000690203,154.02007513254756,3507.00000063365,67.50181222661124,1537.0000002777074,5.621491193888248,128.00000002312723,49.10021214661767,1118.000000202002,0.0,0.0,0.0,0.0,0.0,0.0,9.134923190068404,208.00000003758174,3.645185696036911,83.00000001499656,18.621189579754823,424.00000007660896,0.0,0.0,62.84651483167253,1431.0000002585552,1.2780108886105315,29.100000005257833,0.5489737494031492,12.500000002258519,0.49627226946044695,11.3000000020417,0.5928916493554012,13.500000002439199,0.6895110292503555,15.700000002836699,0.49627226946044695,11.3000000020417,0.2898581396848628,6.600000001192497,0.0,0.0,0.0,0.0,0.0,0.0,1229.8768702628633,28004.000005059803
260.0,3.0,Brooklyn,26000.0,3026000.0,,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),36047026000,4311.0,5699.18918492,1753286.06429,1747716.56,1747716.56,1400000US36047026000,3074,1045,24,49,1332,0,592,32,562,1008,2302,520,634,522,626,72,666,921,1137,1435,1975,2081,2433,350,59,0,0,151,0,140,0,92,40,191,69,70,28,24,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36047026000,1068,3.2,3.3,13.8,9.6,13.9,13.6,14.0,13.2,9.4,6.1,61118,85402,1400000US36047026000,3116,1045,24,49,1332,0,634,32,1008,604,103,518,712,1178,301,304,,,,,518,1890,712,1178,605,301,304,,,426,201,0,0,160,0,65,0,201,65,127,101,88,247,0,113,0,113,134,65,69,83,186,0.9968233910007975,0.9968233910007975,3106.101686358485,3106.101686358485,424.64676456633975,424.64676456633975,246.215377577197,246.215377577197,200.3615015911603,200.3615015911603,0.0,0.0,0.0,0.0,159.4917425601276,159.4917425601276,0.0,0.0,64.79352041505184,64.79352041505184,0.0,0.0,200.3615015911603,200.3615015911603,64.79352041505184,64.79352041505184,3064.2351039364517,3064.2351039364517,348.8881868502791,348.8881868502791,58.81258006904705,58.81258006904705,0.0,0.0,0.0,0.0,150.52033204112044,150.52033204112044,0.0,0.0,139.55527474011166,139.55527474011166,0.0,0.0,91.70775197207337,91.70775197207337,39.8729356400319,39.8729356400319,1064.6073815888517,1064.6073815888517,3.1898348512025523,3.1898348512025523,3.289517190302632,3.289517190302632,13.756162795811006,13.756162795811006,9.569504553607656,9.569504553607656,13.855845134911085,13.855845134911085,13.556798117610846,13.556798117610846,13.955527474011166,13.955527474011166,13.158068761210528,13.158068761210528,9.370139875407498,9.370139875407498,6.080622685104864,6.080622685104864,85130.7112382501,85130.7112382501
261.0,3.0,Brooklyn,26100.0,3026100.0,,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),36047026100,4303.0,5880.89745378,2146491.99548,2057313.928,2057673.516,1400000US36047026100,5498,1449,2258,64,591,0,535,601,1263,1233,4104,595,568,1035,1906,1149,2021,2420,2635,3085,3245,3797,4183,1886,318,1137,0,178,0,60,193,351,245,1181,284,328,365,204,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36047026100,2231,20.3,3.5,5.2,1.3,4.3,14.0,14.3,11.8,8.8,16.4,81827,97763,1400000US36047026100,5500,1449,2258,64,591,0,537,601,1233,1265,367,618,2537,1793,69,116,,,,,618,4330,2537,1793,185,69,116,,,437,18,322,0,0,0,55,42,18,65,10,102,184,250,0,156,0,156,94,54,40,159,242,0.9584540414463284,0.958621565015369,5271.4972279548065,5272.418607584529,418.8444161120455,418.91762391171625,239.6135103615821,239.65539125384225,17.25217274603391,17.255188170276643,308.62220134571777,308.6761439349488,0.0,0.0,0.0,0.0,0.0,0.0,52.714972279548064,52.724186075845296,40.255069740745796,40.262105730645494,17.25217274603391,17.255188170276643,62.29951269401135,62.310401725998986,5269.580319871913,5270.501364454499,1807.6443221677753,1807.9602716189859,304.78838517993245,304.84165767488736,1089.7622451244754,1089.9527194224745,0.0,0.0,170.60481937744646,170.63463857273567,0.0,0.0,57.5072424867797,57.51729390092214,184.98162999914138,185.0139620479662,336.4173685476613,336.4761693203945,234.82124015435045,234.8622834287654,2138.3109664667586,2138.6847115492883,19.456617041360467,19.46001776981199,3.3545891450621492,3.3551754775537916,4.983961015520908,4.984832138079919,1.245990253880227,1.2462080345199797,4.121352378219212,4.122072729566087,13.418356580248597,13.420701910215167,13.705892792682496,13.708288379719777,11.309757689066675,11.311734467181354,8.43439556472769,8.435869772135248,15.718646279719785,15.72139366625205,93701.3424539174,93717.72006059752
262.0,3.0,Brooklyn,26200.0,3026200.0,,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),36047026200,4311.0,5384.7678629,1699502.94799,1054151.593,1699502.948,1400000US36047026200,2729,675,51,23,1731,0,215,34,254,620,1877,608,417,239,613,199,488,725,768,922,1131,1629,1893,299,190,0,0,75,0,34,0,89,135,183,51,61,18,53,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36047026200,793,4.3,0.0,7.1,9.1,11.3,8.6,7.2,22.6,12.6,17.3,107760,116186,1400000US36047026200,2724,675,51,23,1726,0,215,34,620,254,189,393,579,1275,200,88,,,,,393,1854,579,1275,288,200,88,,,230,78,0,0,112,0,34,6,78,34,28,109,87,110,0,90,7,83,20,6,14,62,83,0.6202705292431201,1.0000000000058842,1689.6169216582591,2724.0000000160285,142.66222172591762,230.00000000135336,68.2297582167432,110.00000000064726,48.381101280963364,78.00000000045897,0.0,0.0,0.0,0.0,69.47029927522945,112.00000000065903,0.0,0.0,21.089197994266083,34.00000000020006,3.7216231754587206,6.000000000035305,48.381101280963364,78.00000000045897,21.089197994266083,34.00000000020006,1692.7182743044748,2729.000000016058,185.46088824369292,299.00000000175936,117.85140055619281,190.000000001118,0.0,0.0,0.0,0.0,46.520289693234005,75.00000000044132,0.0,0.0,21.089197994266083,34.00000000020006,0.0,0.0,55.20407710263769,89.0000000005237,83.73652144782122,135.00000000079436,491.87452968979426,793.0000000046662,2.6671632757454162,4.300000000025301,0.0,0.0,4.403920757626152,7.100000000041777,5.6444618161123925,9.100000000053546,7.009056980447258,11.300000000066492,5.3343265514908325,8.600000000050603,4.465947810550465,7.200000000042366,14.018113960894516,22.600000000132983,7.815408668463313,12.60000000007414,10.730680155905977,17.300000000101797,72066.75171064115,116186.00000068366
263.0,3.0,Brooklyn,26300.0,3026300.0,,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),36047026300,4303.0,4799.55654215,1287405.88491,693019.535,693019.535,1400000US36047026300,2230,415,1407,0,50,33,83,242,269,403,1574,164,429,335,646,192,482,534,594,619,1001,1232,1622,437,76,247,0,0,33,22,59,99,76,277,48,113,41,75,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36047026300,968,6.2,6.7,7.1,5.6,5.3,14.8,24.1,7.7,8.8,13.7,77546,97226,1400000US36047026300,2253,428,1417,0,50,33,83,242,414,271,122,269,825,831,140,66,,,,,269,1656,825,831,206,140,66,,,188,9,132,0,0,0,20,27,9,31,20,57,39,123,0,65,0,65,58,11,47,61,116,0.5383069497530281,0.5383069497530281,1212.8055577935722,1212.8055577935722,101.20170655356928,101.20170655356928,66.21175481962246,66.21175481962246,4.844762547777252,4.844762547777252,71.0565173673997,71.0565173673997,0.0,0.0,0.0,0.0,0.0,0.0,10.766138995060562,10.766138995060562,14.534287643331758,14.534287643331758,4.844762547777252,4.844762547777252,16.68751544234387,16.68751544234387,1200.4244979492526,1200.4244979492526,235.24013704207326,235.24013704207326,40.91132818123013,40.91132818123013,132.96181658899792,132.96181658899792,0.0,0.0,0.0,0.0,17.764129341849927,17.764129341849927,11.842752894566617,11.842752894566617,31.760110035428657,31.760110035428657,53.292388025549776,53.292388025549776,40.91132818123013,40.91132818123013,521.0811273609312,521.0811273609312,3.337503088468774,3.337503088468774,3.6066565633452883,3.6066565633452883,3.821979343246499,3.821979343246499,3.014518918616957,3.014518918616957,2.8530268336910485,2.8530268336910485,7.966942856344816,7.966942856344816,12.973197489047976,12.973197489047976,4.1449635130983165,4.1449635130983165,4.737101157826648,4.737101157826648,7.374805211616484,7.374805211616484,52337.43149668791,52337.43149668791
264.0,3.0,Brooklyn,26400.0,3026400.0,,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),36047026400,4311.0,7095.08629054,2038976.3995,2038976.4,2038976.4,1400000US36047026400,4358,1573,25,11,1608,0,898,243,1162,1485,3072,927,882,484,779,192,1143,1379,1491,1638,2569,3218,3387,670,153,0,0,281,0,185,51,243,153,428,211,90,74,53,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36047026400,1582,3.4,6.3,7.8,9.1,11.3,19.9,10.6,16.5,9.9,5.2,73029,88520,1400000US36047026400,4423,1635,25,11,1611,0,898,243,1547,1162,229,705,892,2078,313,206,,,,,705,2970,892,2078,519,313,206,,,330,162,0,0,123,0,10,35,162,17,81,77,180,194,0,57,0,57,137,63,74,96,156,1.000000000245221,1.000000000245221,4423.000001084612,4423.000001084612,330.0000000809229,330.0000000809229,194.00000004757285,194.00000004757285,162.0000000397258,162.0000000397258,0.0,0.0,0.0,0.0,123.00000003016218,123.00000003016218,0.0,0.0,10.000000002452209,10.000000002452209,35.00000000858273,35.00000000858273,162.0000000397258,162.0000000397258,17.000000004168758,17.000000004168758,4358.000001068673,4358.000001068673,670.0000001642981,670.0000001642981,153.00000003751882,153.00000003751882,0.0,0.0,0.0,0.0,281.00000006890707,281.00000006890707,0.0,0.0,185.00000004536588,185.00000004536588,51.00000001250627,51.00000001250627,243.0000000595887,243.0000000595887,153.00000003751882,153.00000003751882,1582.0000003879395,1582.0000003879395,3.400000000833751,3.400000000833751,6.300000001544892,6.300000001544892,7.800000001912723,7.800000001912723,9.10000000223151,9.10000000223151,11.300000002770998,11.300000002770998,19.900000004879896,19.900000004879896,10.600000002599343,10.600000002599343,16.500000004046147,16.500000004046147,9.900000002427689,9.900000002427689,5.200000001275149,5.200000001275149,88520.00002170696,88520.00002170696
265.0,3.0,Brooklyn,26500.0,3026500.0,,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),36047026500,4303.0,5341.6180671,1718284.07002,325434.643,325434.643,1400000US36047026500,4183,851,2044,23,267,0,501,497,916,574,3116,255,707,625,1529,177,959,1075,1118,1164,1951,2248,2685,938,89,420,0,10,0,369,50,510,35,542,145,219,85,93,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36047026500,1869,3.1,7.4,4.7,7.6,13.9,13.3,11.6,16.1,8.3,14.0,77545,117149,1400000US36047026500,4183,851,2044,23,267,0,501,497,574,916,219,451,1495,1619,218,181,,,,,451,3114,1495,1619,399,218,181,,,333,19,311,0,0,0,3,0,19,30,81,27,100,207,0,18,0,18,189,76,113,58,180,0.1893951347615136,0.1893951347615136,792.2398487074114,792.2398487074114,63.06857987558403,63.06857987558403,39.20479289563331,39.20479289563331,3.598507560468758,3.598507560468758,58.901886910830726,58.901886910830726,0.0,0.0,0.0,0.0,0.0,0.0,0.5681854042845408,0.5681854042845408,0.0,0.0,3.598507560468758,3.598507560468758,5.681854042845408,5.681854042845408,792.2398487074114,792.2398487074114,177.65263640629976,177.65263640629976,16.85616699377471,16.85616699377471,79.5459565998357,79.5459565998357,0.0,0.0,1.893951347615136,1.893951347615136,0.0,0.0,69.88680472699852,69.88680472699852,9.469756738075679,9.469756738075679,96.59151872837194,96.59151872837194,6.628829716652976,6.628829716652976,353.9795068692689,353.9795068692689,0.5871249177606922,0.5871249177606922,1.4015239972352007,1.4015239972352007,0.890157133379114,0.890157133379114,1.4394030241875033,1.4394030241875033,2.632592373185039,2.632592373185039,2.518955292328131,2.518955292328131,2.1969835632335575,2.1969835632335575,3.049261669660369,3.049261669660369,1.571979618520563,1.571979618520563,2.65153188666119,2.65153188666119,22187.450642176555,22187.450642176555
266.0,3.0,Brooklyn,26600.0,3026600.0,,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),36047026600,4311.0,7706.99958786,1785503.08501,1388190.881,1388190.881,1400000US36047026600,3610,1422,0,106,1538,0,482,62,813,1153,2328,821,433,345,729,228,847,1337,1931,1952,2347,2632,3262,544,131,0,0,219,0,132,62,256,69,327,91,116,66,54,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36047026600,1118,8.1,5.7,5.7,15.1,11.7,23.5,4.7,10.3,11.8,3.3,51724,70636,1400000US36047026600,3602,1400,0,106,1552,0,482,62,1131,813,393,486,874,1315,377,157,,,,,486,2189,874,1315,534,377,157,,,203,58,0,45,100,0,0,0,40,18,56,36,48,58,0,0,0,0,58,38,20,37,110,0.7774788476449064,0.7774788476449064,2800.478809216953,2800.478809216953,157.828206071916,157.828206071916,45.09377316340457,45.09377316340457,45.09377316340457,45.09377316340457,0.0,0.0,34.98654814402079,34.98654814402079,77.74788476449064,77.74788476449064,0.0,0.0,0.0,0.0,0.0,0.0,31.099153905796257,31.099153905796257,13.994619257608315,13.994619257608315,2806.698639998112,2806.698639998112,422.94849311882905,422.94849311882905,101.84972904148273,101.84972904148273,0.0,0.0,0.0,0.0,170.2678676342345,170.2678676342345,0.0,0.0,102.62720788912765,102.62720788912765,48.20368855398419,48.20368855398419,199.03458499709603,199.03458499709603,53.64604048749854,53.64604048749854,869.2213516670054,869.2213516670054,6.297578665923742,6.297578665923742,4.431629431575966,4.431629431575966,4.431629431575966,4.431629431575966,11.739930599438086,11.739930599438086,9.096502517445405,9.096502517445405,18.2707529196553,18.2707529196553,3.65415058393106,3.65415058393106,8.008032130742537,8.008032130742537,9.174250402209896,9.174250402209896,2.565680197228191,2.565680197228191,54917.99588224561,54917.99588224561
267.0,3.0,Brooklyn,26700.0,3026700.0,,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),36047026700,4303.0,5340.24442729,1717368.23662,1616854.34,1616854.34,1400000US36047026700,4591,1711,1931,0,193,0,177,579,604,1491,3691,211,504,774,2202,220,531,602,858,885,1528,1887,2254,444,102,311,0,9,0,0,22,22,102,263,78,103,8,74,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36047026700,1972,5.9,3.2,5.5,0.9,5.4,12.0,10.7,20.2,14.2,22.1,121771,150107,1400000US36047026700,4591,1711,1931,0,193,0,177,579,1491,604,270,328,1659,1780,253,301,,,,,328,3439,1659,1780,554,253,301,,,349,62,262,0,0,0,0,25,60,2,78,48,68,162,0,31,0,31,131,70,61,60,86,0.9414721348184335,0.9414721348184335,4322.298570951428,4322.298570951428,328.5737750516333,328.5737750516333,152.51848584058624,152.51848584058624,58.37127235874288,58.37127235874288,246.6656993224296,246.6656993224296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.536803370460838,23.536803370460838,56.48832808910601,56.48832808910601,1.882944269636867,1.882944269636867,4322.298570951428,4322.298570951428,418.0136278593845,418.0136278593845,96.03015775148022,96.03015775148022,292.79783392853284,292.79783392853284,0.0,0.0,8.473249213365902,8.473249213365902,0.0,0.0,0.0,0.0,20.712386966005536,20.712386966005536,20.712386966005536,20.712386966005536,96.03015775148022,96.03015775148022,1856.583049861951,1856.583049861951,5.554685595428758,5.554685595428758,3.012710831418987,3.012710831418987,5.178096741501384,5.178096741501384,0.8473249213365902,0.8473249213365902,5.0839495280195415,5.0839495280195415,11.297665617821202,11.297665617821202,10.073751842557238,10.073751842557238,19.017737123332356,19.017737123332356,13.368904314421755,13.368904314421755,20.806534179487382,20.806534179487382,141321.5577411906,141321.5577411906
268.0,3.0,Brooklyn,26800.0,3026800.0,,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),36047026800,4311.0,6339.14456019,1926489.4289,477624.02,483340.624,1400000US36047026800,4667,2437,11,0,1887,0,247,85,554,2187,3377,1003,918,484,972,278,1282,1699,1926,1926,2585,3125,3719,734,467,2,0,233,0,12,20,48,451,543,181,116,54,192,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36047026800,1602,7.7,1.8,8.0,5.3,9.3,17.6,17.8,18.0,7.6,6.9,80500,92314,1400000US36047026800,4667,2437,11,0,1887,0,247,85,2187,554,277,682,971,1883,389,465,,,,,682,2854,971,1883,854,389,465,,,462,331,1,0,101,0,9,20,293,67,92,94,123,209,0,51,17,34,158,45,113,144,268,0.24792454753967533,0.25089191601533006,1157.0638633676647,1170.9125720435454,114.54114096333001,115.91206519908249,51.81623043579214,52.43641044720398,82.06302523563254,83.04522420107425,0.24792454753967533,0.25089191601533006,0.0,0.0,25.04037930150721,25.340083517548337,0.0,0.0,2.231320927857078,2.2580272441379705,4.958490950793506,5.017838320306601,72.64189242912487,73.51133139249171,16.61094468515825,16.809758373027115,1157.0638633676647,1170.9125720435454,181.9766178941217,184.15466635525226,115.78076370102838,117.16652477915913,0.49584909507935065,0.5017838320306601,0.0,0.0,57.766419576744354,58.457816431571906,0.0,0.0,2.975094570476104,3.010702992183961,4.958490950793506,5.017838320306601,11.900378281904416,12.042811968735844,111.81397094039357,113.15225412291386,397.17512515855987,401.92884945655874,1.9090190160555,1.9318677533180415,0.4462641855714156,0.4516054488275941,1.9833963803174026,2.0071353281226405,1.3140001019602792,1.3297271548812493,2.3056982921189806,2.3332948189425697,4.363472036698286,4.41569772186981,4.413056946206221,4.4658761050728755,4.462641855714156,4.516054488275941,1.8842265613015323,1.9067785617165083,1.71067937802376,1.7311542205057775,22886.906681577588,23160.83633503918
269.0,3.0,Brooklyn,26900.0,3026900.0,,Bedford-Stuyvesant (West),BK0301,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),36047026900,4303.0,5051.0187064,1441848.6658,1438255.987,1441848.666,1400000US36047026900,3004,1238,1077,23,43,0,76,547,667,1072,2285,193,238,449,1405,363,526,551,560,614,1435,1685,1946,498,107,357,23,0,0,0,11,119,64,342,85,106,43,108,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36047026900,1237,8.2,3.5,4.1,3.2,7.4,11.8,24.5,8.4,10.0,18.9,89573,133638,1400000US36047026900,3038,1238,1111,23,43,0,76,547,1072,701,222,488,999,1163,122,44,,,,,488,2162,999,1163,166,122,44,,,305,121,118,0,0,0,0,66,73,148,47,96,121,209,0,186,27,159,23,23,0,46,146,0.9975082830221945,1.0000000001387108,3030.430163821427,3038.0000004214035,304.24002632176934,305.0000000423068,208.47923115163866,209.00000002899057,120.69850224568553,121.00000001678401,117.70597739661895,118.00000001636788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.83554667946484,66.00000000915492,72.8181046606202,73.00000001012589,147.63122588728478,148.0000000205292,2996.5148821986722,3004.0000004166873,496.75912494505286,498.000000069078,106.73338628337481,107.00000001484206,356.11045703892347,357.00000004951977,22.942690509510474,23.000000003190348,0.0,0.0,0.0,0.0,0.0,0.0,10.972591113244139,11.00000000152582,118.70348567964115,119.00000001650659,63.84053011342045,64.00000000887749,1233.9177460984547,1237.0000001715853,8.179567920781995,8.200000001137427,3.4912789905776807,3.500000000485488,4.089783960390998,4.100000000568714,3.1920265056710226,3.200000000443875,7.38156129436424,7.40000000102646,11.770597739661897,11.80000000163679,24.438952934043765,24.500000003398416,8.379069577386435,8.400000001165171,9.975082830221945,10.000000001387107,18.852906549119474,18.900000002621635,133305.01192652003,133638.00001853704
270.0,3.0,Brooklyn,27000.0,3027000.0,,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),36047027000,4311.0,5255.80105569,1444005.62538,2018.5,1357287.052,1400000US36047027000,2416,1392,0,0,722,0,143,159,316,1378,1618,289,386,333,610,261,819,924,1075,1196,1280,1611,1803,783,666,0,0,87,0,5,25,30,666,500,156,131,79,134,(X),(X),(X),(X),(X),(X),(X),(X),1400000US36047027000,866,13.6,8.8,7.9,15.4,6.2,12.4,6.1,11.0,6.7,12.0,43269,76202,1400000US36047027000,2416,1392,0,0,722,0,143,159,1378,316,117,466,469,1031,177,156,,,,,466,1500,469,1031,333,177,156,,,264,155,0,0,78,0,0,31,151,35,64,84,56,170,0,11,0,11,159,60,99,139,171,0.001397847740010582,0.9399458202545578,3.377200139865566,2270.9091017350115,0.3690318033627936,248.14569654720324,0.2376341158017989,159.7907894432748,0.2166663997016402,145.69160213945645,0.0,0.0,0.0,0.0,0.1090321237208254,73.3157739798555,0.0,0.0,0.0,0.0,0.04333327994032804,29.13832042789129,0.21107500874159787,141.93181885843822,0.048924670900370365,32.898103708909524,3.377200139865566,2270.9091017350115,1.0945147804282855,735.9775772593188,0.9309665948470476,626.0039162895355,0.0,0.0,0.0,0.0,0.12161275338092063,81.77528636214653,0.0,0.0,0.00698923870005291,4.699729101272789,0.034946193500264545,23.498645506363943,0.04193543220031746,28.198374607636733,0.9309665948470476,626.0039162895355,1.2105361428491639,813.993080340447,0.019010729264143912,12.783263155461984,0.012301060112093122,8.271523218240109,0.011042997146083597,7.425571980011006,0.021526855196162962,14.47516563192019,0.008666655988065607,5.827664085578259,0.017333311976131215,11.655328171156517,0.00852687121406455,5.733669503552802,0.0153763251401164,10.339404022800135,0.0093655798580709,6.297636995705537,0.016774172880126982,11.279349843054693,106.51879348428636,71625.7513950378
