ambuLowArea,ambuHighArea,povertyLowArea,povertyHighArea
1312247054.0864,1369866271.382571,1340877754.8562,3723607342.12387
556769199.808,587821855.993,266952728.876,1938676785.2159998
319964608.10899997,278698484.57799995,136402419.158,891084865.962
248642295.76399997,322667504.466,134053328.709,1064144040.0639999
