CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area
"166","1",Manhattan,"016600","1016600",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061016600","4111",5724.30052448000,1871913.93571999995
"169","1",Manhattan,"016900","1016900",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061016900","4107",5751.66165621000,1937087.87968000001
"170","1",Manhattan,"017000","1017000",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017000","4111",5617.78174999000,1969157.88721000007
"171","1",Manhattan,"017100","1017100",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017100","4107",6578.84264098000,2262383.01447999990
"172","1",Manhattan,"017200","1017200",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017200","4111",5797.26396924000,1912754.75564999995
"173","1",Manhattan,"017300","1017300",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017300","4107",5735.89530142000,1921881.19268000009
"174.01","1",Manhattan,"017401","1017401",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017401","4111",4175.33030196000,1086203.70932999998
"174.02","1",Manhattan,"017402","1017402",,East Harlem (South),MN1101,MN11,MN11 East Harlem (CD 11 Equivalent),"36061017402","4111",3109.68354092000,547579.12672599999
"175","1",Manhattan,"017500","1017500",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017500","4107",6483.80365379000,2318094.02316999994
"177","1",Manhattan,"017700","1017700",,Upper West Side (Central),MN0702,MN07,MN07 Upper West Side (CD 7 Approximation),"36061017700","4107",5688.50157024000,1878929.74707999988
"180","1",Manhattan,"018000","1018000",,East Harlem (North),MN1102,MN11,MN11 East Harlem (CD 11 Equivalent),"36061018000","4111",6055.91400604000,2287541.25700999983
