CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area
"443.02","4",Queens,"044302","4044302",,Corona,QN0402,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081044302","4404",6885.48818903000,2992542.45232000016
"444","4",Queens,"044400","4044400",,Jamaica,QN1201,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081044400","4412",20651.40870110000,9708089.68721999973
"446.01","4",Queens,"044601","4044601",,Jamaica,QN1201,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081044601","4412",6255.70667370000,2419639.03462000005
"446.02","4",Queens,"044602","4044602",,Jamaica,QN1201,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081044602","4412",5531.97035733000,1830580.37370000011
"448","4",Queens,"044800","4044800",,Jamaica Hills-Briarwood,QN0805,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081044800","4408",7015.86691584000,2240965.78660999984
"450","4",Queens,"045000","4045000",,Jamaica Hills-Briarwood,QN0805,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081045000","4408",5660.71550576000,1889459.32175999996
"456","4",Queens,"045600","4045600",,Jamaica Hills-Briarwood,QN0805,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081045600","4408",7603.80086639000,1744395.64262999990
"457","4",Queens,"045700","4045700",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081045700","4404",5578.62644305000,1620253.94155000011
"459","4",Queens,"045900","4045900",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081045900","4404",5413.88709006000,1473337.18213999993
"460","4",Queens,"046000","4046000",,Jamaica,QN1201,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081046000","4412",6262.82377802000,2381695.25035999995
"461","4",Queens,"046100","4046100",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081046100","4404",5429.07171507000,1226622.50539999991
"464","4",Queens,"046400","4046400",,Jamaica Estates-Holliswood,QN0804,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081046400","4408",9667.73682392000,2470140.25700999983
"465","4",Queens,"046500","4046500",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081046500","4404",4914.47498459000,1396723.11332000000
"467","4",Queens,"046700","4046700",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081046700","4404",6450.86294346000,1528977.75060999999
"468","4",Queens,"046800","4046800",,Jamaica,QN1201,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081046800","4412",6509.98893187000,2471077.07810000004
"469.01","4",Queens,"046901","4046901",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081046901","4404",4189.06857296000,803853.20006900001
"469.02","4",Queens,"046902","4046902",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081046902","4404",4120.04374856000,825704.39457600005
"470","4",Queens,"047000","4047000",,Jamaica,QN1201,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081047000","4412",6633.55098050000,2473436.55272000004
"473","4",Queens,"047300","4047300",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081047300","4404",7228.94640036000,2136377.20740999980
"478.01","4",Queens,"047801","4047801",,Jamaica Estates-Holliswood,QN0804,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081047801","4408",13482.18361490000,5600881.34693000000
"478.02","4",Queens,"047802","4047802",,Hollis,QN1206,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081047802","4412",5857.63534822000,1427568.71121000010
"480","4",Queens,"048000","4048000",,Hollis,QN1206,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081048000","4412",6511.37129237000,2482350.20870999992
"481","4",Queens,"048100","4048100",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081048100","4404",5593.24966948000,1496567.82633999991
"482","4",Queens,"048200","4048200",,Hollis,QN1206,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081048200","4412",6546.12341842000,2454003.45577999996
"484","4",Queens,"048400","4048400",,Hollis,QN1206,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081048400","4412",8758.23922577000,4466742.59681000002
"492.01","4",Queens,"049201","4049201",,Jamaica Estates-Holliswood,QN0804,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081049201","4408",8026.70223084000,3169915.08727000002
"492.02","4",Queens,"049202","4049202",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081049202","4413",5738.61840203000,2063107.46941999998
"493.01","4",Queens,"049301","4049301",,Maspeth,QN0501,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081049301","4405",6327.55402236000,1764042.71900000004
"493.02","4",Queens,"049302","4049302",,Maspeth,QN0501,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081049302","4405",8787.08074378000,2896925.43393999990
"495","4",Queens,"049500","4049500",,Maspeth,QN0501,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081049500","4405",6562.95101759000,1388725.36611999990
"496","4",Queens,"049600","4049600",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081049600","4413",6798.28247899000,2943687.16290999996
"497","4",Queens,"049700","4049700",,Maspeth,QN0501,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081049700","4405",6140.53988240000,2129377.45016000001
"500","4",Queens,"050000","4050000",,Hollis,QN1206,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081050000","4412",10937.19760100000,3612066.31877999986
"502.01","4",Queens,"050201","4050201",,Hollis,QN1206,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081050201","4412",5546.25648234000,1810554.43791999994
"502.02","4",Queens,"050202","4050202",,Hollis,QN1206,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081050202","4412",5227.63796062000,1645285.22525999998
"504","4",Queens,"050400","4050400",,St. Albans,QN1205,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081050400","4412",6256.94257464000,2328381.53566000005
"506","4",Queens,"050600","4050600",,Hollis,QN1206,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081050600","4412",6185.41498069000,2217542.16966000013
"508","4",Queens,"050800","4050800",,Hollis,QN1206,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081050800","4412",6330.86582497000,2363416.32278000005
"510","4",Queens,"051000","4051000",,Hollis,QN1206,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081051000","4412",7777.70875132000,1989781.22732999991
"512","4",Queens,"051200","4051200",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081051200","4413",10480.70190040000,4044798.63002000004
"513","4",Queens,"051300","4051300",,Maspeth,QN0501,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081051300","4405",6462.42317167000,2082794.35297999997
"516","4",Queens,"051600","4051600",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081051600","4413",7039.68124806000,1976764.04573999997
"517","4",Queens,"051700","4051700",,Maspeth,QN0501,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081051700","4405",9933.39889691000,2737061.48777000001
"518","4",Queens,"051800","4051800",,St. Albans,QN1205,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081051800","4412",6248.97806150000,1827884.20877999999
"520","4",Queens,"052000","4052000",,St. Albans,QN1205,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081052000","4412",6270.78425058000,1853858.13917999994
"521","4",Queens,"052100","4052100",,Maspeth,QN0501,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081052100","4405",7333.11029296000,2033478.65197000001
"522","4",Queens,"052200","4052200",,St. Albans,QN1205,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081052200","4412",6248.71226815000,1827899.17757000006
"524","4",Queens,"052400","4052400",,St. Albans,QN1205,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081052400","4412",6098.59450094000,2111656.27515000012
"526","4",Queens,"052600","4052600",,St. Albans,QN1205,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081052600","4412",5832.43613669000,1962757.73243000009
"528","4",Queens,"052800","4052800",,St. Albans,QN1205,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081052800","4412",6980.71547518000,1941579.97444000002
"530","4",Queens,"053000","4053000",,St. Albans,QN1205,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081053000","4412",6368.35206693000,2477580.91948000016
"531","4",Queens,"053100","4053100",,Maspeth,QN0501,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081053100","4405",8731.93135523000,4558842.27204000019
"532","4",Queens,"053200","4053200",,St. Albans,QN1205,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081053200","4412",8791.72966775000,2043401.98827999993
"536.01","4",Queens,"053601","4053601",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081053601","4413",6725.29709139000,2066594.22812999994
"538","4",Queens,"053800","4053800",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081053800","4413",7196.83080203000,2031701.03524999996
"539.01","4",Queens,"053901","4053901",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081053901","4405",10954.46128900000,4743330.72974999994
"539.02","4",Queens,"053902","4053902",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081053902","4405",5231.41501737000,1782429.05912999995
"540","4",Queens,"054000","4054000",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081054000","4413",10379.22318190000,5627808.84640999977
"542","4",Queens,"054200","4054200",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081054200","4413",10029.06380510000,5824785.57615000103
"545","4",Queens,"054500","4054500",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081054500","4405",4479.23328983000,1221365.64706999995
"547","4",Queens,"054700","4054700",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081054700","4405",5473.12226701000,1390289.28505000006
"548","4",Queens,"054800","4054800",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081054800","4413",7075.54382475000,2423672.41832000017
"549","4",Queens,"054900","4054900",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081054900","4405",6164.83999693000,1767827.28805999993
"551","4",Queens,"055100","4055100",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081055100","4405",5974.20708933000,1669725.73224999988
"553","4",Queens,"055300","4055300",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081055300","4405",5786.25740085000,1475828.63589000003
"554","4",Queens,"055400","4055400",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081055400","4413",6806.19234459000,2368771.71427999996
"555","4",Queens,"055500","4055500",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081055500","4405",6355.66245280000,1654116.30689999997
"556","4",Queens,"055600","4055600",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081055600","4413",6237.49461204000,2442153.50047999993
"557","4",Queens,"055700","4055700",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081055700","4405",7938.37014138000,2577353.55578000005
"558","4",Queens,"055800","4055800",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081055800","4413",5807.58701335000,2070613.64275999996
"559","4",Queens,"055900","4055900",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081055900","4405",5554.32795303000,1747160.51775000012
"561","4",Queens,"056100","4056100",,Highland Park-Cypress Hills Cemeteries (North),QN0574,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081056100","4405",33067.82702700000,31227050.00719999894
"562","4",Queens,"056200","4056200",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081056200","4413",5791.17404709000,1729177.34364999994
"565","4",Queens,"056500","4056500",,Glendale,QN0503,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081056500","4405",6884.64953446000,1304509.43439999991
"566","4",Queens,"056600","4056600",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081056600","4413",5722.75819847000,2098775.46635999996
"567","4",Queens,"056700","4056700",,Glendale,QN0503,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081056700","4405",10547.90276360000,3385675.09769000020
"577","4",Queens,"057700","4057700",,Glendale,QN0503,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081057700","4405",6441.76678921000,2030058.39174999995
"579","4",Queens,"057900","4057900",,Glendale,QN0503,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081057900","4405",4076.28513506000,743111.06989599997
"582","4",Queens,"058200","4058200",,Queens Village,QN1303,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081058200","4413",11441.37676430000,6066865.06104000006
"585","4",Queens,"058500","4058500",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081058500","4405",5622.54718644000,1842457.05747999996
"587","4",Queens,"058700","4058700",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081058700","4405",5093.74821868000,1549455.35177000007
"589","4",Queens,"058900","4058900",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081058900","4405",5626.45011681000,1780244.68861999991
"590","4",Queens,"059000","4059000",,Cambria Heights,QN1304,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081059000","4413",5991.95156017000,1702017.13183000009
"591","4",Queens,"059100","4059100",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081059100","4405",6258.85043539000,2174921.34624999994
"593","4",Queens,"059300","4059300",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081059300","4405",7184.62125837000,2719007.54082999984
"595.01","4",Queens,"059501","4059501",,Ridgewood,QN0502,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081059501","4405",6320.21426142000,1774156.28312000004
"599","4",Queens,"059900","4059900",,Maspeth,QN0501,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081059900","4405",6220.11865694000,1368119.30816000002
"606","4",Queens,"060600","4060600",,Cambria Heights,QN1304,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081060600","4413",6180.97581349000,2317297.21054999996
"608","4",Queens,"060800","4060800",,Cambria Heights,QN1304,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081060800","4413",6176.48631380000,2271701.78960999986
"610","4",Queens,"061000","4061000",,Cambria Heights,QN1304,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081061000","4413",6530.28009497000,2616057.49012999982
"612","4",Queens,"061200","4061200",,Cambria Heights,QN1304,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081061200","4413",7123.41311322000,2830128.16082999995
"613.02","4",Queens,"061302","4061302",,Middle Village Cemetery,QN0572,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081061302","4405",10370.46100110000,5511491.13410000037
"614","4",Queens,"061400","4061400",,Cambria Heights,QN1304,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081061400","4413",6934.40347047000,2772036.31619999977
"616.01","4",Queens,"061601","4061601",,Laurelton,QN1305,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081061601","4413",9165.24562428000,4117509.64159000013
"618","4",Queens,"061800","4061800",,Laurelton,QN1305,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081061800","4413",6649.06908223000,2600036.16086999979
"623","4",Queens,"062300","4062300",,Glendale,QN0503,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081062300","4405",5381.88370223000,1688804.11312000011
"625","4",Queens,"062500","4062500",,Glendale,QN0503,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081062500","4405",6042.80969693000,2137199.26153999986
"626","4",Queens,"062600","4062600",,Laurelton,QN1305,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081062600","4413",9219.36487304000,4651585.20208000019
"627","4",Queens,"062700","4062700",,Glendale,QN0503,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081062700","4405",5344.10454860000,1693386.23482999997
"629","4",Queens,"062900","4062900",,Glendale,QN0503,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081062900","4405",8624.66282999000,1987938.26052000001
"632","4",Queens,"063200","4063200",,Laurelton,QN1305,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081063200","4413",9395.27848680000,3192812.08658999996
"641.01","4",Queens,"064101","4064101",,Woodhaven,QN0905,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),"36081064101","4409",4285.78492642000,888496.15466100001
"645","4",Queens,"064500","4064500",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081064500","4406",9664.89520810000,3401293.31301999977
"646","4",Queens,"064600","4064600",,Laurelton,QN1305,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081064600","4413",9495.58996191000,4431420.37146000005
"650","4",Queens,"065000","4065000",,Laurelton,QN1305,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081065000","4413",9259.52096029000,4304601.87177000009
"654.01","4",Queens,"065401","4065401",,Rosedale,QN1307,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081065401","4413",11723.52314470000,4637075.52419999987
"654.02","4",Queens,"065402","4065402",,Springfield Gardens (South)-Brookville,QN1306,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081065402","4413",8818.44058120000,2865941.96189999999
"656","4",Queens,"065600","4065600",,Rosedale,QN1307,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081065600","4413",17210.62835060000,6346461.90620999970
"657.02","4",Queens,"065702","4065702",,Middle Village,QN0504,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081065702","4405",6735.04868397000,1547771.97528999997
"657.03","4",Queens,"065703","4065703",,Middle Village,QN0504,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081065703","4405",7352.98153074000,2889534.89949000021
"660","4",Queens,"066000","4066000",,Rosedale,QN1307,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081066000","4413",8525.49781997000,4160670.39747000020
"663.01","4",Queens,"066301","4066301",,Middle Village,QN0504,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081066301","4405",11850.68140740000,3017250.41282999981
"663.02","4",Queens,"066302","4066302",,Middle Village,QN0504,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081066302","4405",8253.39559501000,2656996.36806999985
"664.02","4",Queens,"066402","4066402",,Rosedale,QN1307,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081066402","4413",11688.47601590000,4232911.46427000035
"664.03","4",Queens,"066403","4066403",,Rosedale,QN1307,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081066403","4413",11109.03981630000,3916205.36524000019
"667.01","4",Queens,"066701","4066701",,Maspeth,QN0501,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081066701","4405",7732.49507861000,2769361.37132999999
"671","4",Queens,"067100","4067100",,Middle Village,QN0504,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081067100","4405",7397.82021009000,2465973.96388999978
"677","4",Queens,"067700","4067700",,Middle Village,QN0504,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),"36081067700","4405",6676.79362637000,2001637.18341999990
"682","4",Queens,"068200","4068200",,Laurelton,QN1305,QN13,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),"36081068200","4413",7239.27937305000,2492489.82379999990
"683","4",Queens,"068300","4068300",,Elmhurst,QN0401,QN04,QN04 Elmhurst-Corona (CD 4 Approximation),"36081068300","4404",6866.76250858000,2632326.65522000007
"693","4",Queens,"069300","4069300",,Rego Park,QN0601,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081069300","4406",4912.47915263000,1538773.71447000001
"695","4",Queens,"069500","4069500",,Rego Park,QN0601,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081069500","4406",6442.96474325000,2295318.78004000010
"697.01","4",Queens,"069701","4069701",,Rego Park,QN0601,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081069701","4406",6671.67556138000,1432171.61510999990
"707","4",Queens,"070700","4070700",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081070700","4406",6626.19796315000,2389558.69418000011
"713.03","4",Queens,"071303","4071303",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081071303","4406",6016.78880313000,1524257.97246999992
"713.04","4",Queens,"071304","4071304",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081071304","4406",6775.65369413000,1680454.99821999995
"713.05","4",Queens,"071305","4071305",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081071305","4406",5409.63422272000,1441518.45010000002
"717.01","4",Queens,"071701","4071701",,Rego Park,QN0601,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081071701","4406",6657.59645862000,2044997.98686999991
"719","4",Queens,"071900","4071900",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081071900","4406",5261.52740100000,1783745.50973999989
"721","4",Queens,"072100","4072100",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081072100","4406",5863.60558014000,1818395.47219999996
"723","4",Queens,"072300","4072300",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081072300","4406",10411.72968650000,5060335.89114999957
"729","4",Queens,"072900","4072900",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081072900","4406",5833.15295040000,2085109.02515999996
"737","4",Queens,"073700","4073700",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081073700","4406",6137.73834981000,2268850.49209999992
"739","4",Queens,"073900","4073900",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081073900","4406",7295.04722787000,2410955.73698000005
"741","4",Queens,"074100","4074100",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081074100","4406",5734.09276867000,1850016.89238000009
"743","4",Queens,"074300","4074300",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081074300","4406",5753.97699721000,2083264.30331999995
"745","4",Queens,"074500","4074500",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081074500","4406",6510.54556494000,1878207.94595000008
"747","4",Queens,"074700","4074700",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081074700","4406",9969.73173447000,3175255.14166999981
"757.01","4",Queens,"075701","4075701",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081075701","4406",7993.20301792000,2126567.85716000013
"757.02","4",Queens,"075702","4075702",,Forest Hills,QN0602,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),"36081075702","4406",8925.15998248000,3781074.75791000016
"779.02","4",Queens,"077902","4077902",,Kew Gardens Hills,QN0801,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081077902","4408",10897.24453360000,6023219.05652000010
"779.03","4",Queens,"077903","4077903",,Kew Gardens Hills,QN0801,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081077903","4408",7180.45908955000,2829805.69849999994
"779.04","4",Queens,"077904","4077904",,Kew Gardens Hills,QN0801,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081077904","4408",8365.32280941000,4162642.57229000004
"779.06","4",Queens,"077906","4077906",,Kew Gardens Hills,QN0801,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081077906","4408",7680.73450556000,3108729.12674000021
"779.07","4",Queens,"077907","4077907",,Kew Gardens Hills,QN0801,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081077907","4408",6194.42241315000,2330099.65946000023
"779.08","4",Queens,"077908","4077908",,Kew Gardens Hills,QN0801,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081077908","4408",6079.43042978000,2156618.58095999993
"788","4",Queens,"078800","4078800",,Baisley Park,QN1203,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081078800","4412",6653.99780687000,2075692.36853999994
"790","4",Queens,"079000","4079000",,Baisley Park,QN1203,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081079000","4412",7646.75164999000,2799200.27398000006
"792","4",Queens,"079200","4079200",,Baisley Park,QN1203,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),"36081079200","4412",8234.78393857000,3932343.85942000011
"793","4",Queens,"079300","4079300",,Mount Hebron & Cedar Grove Cemeteries,QN0871,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),"36081079300","4408",15876.25797940000,9208957.99733999930
"797.01","4",Queens,"079701","4079701",,Flushing-Willets Point,QN0707,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),"36081079701","4407",5015.54417075000,1199494.67987000011
