CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,calculated,id,Station ID,area,perimeter,DepArea
"383","3",Brooklyn,"038300","3038300",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047038300","4303",5635.04684229000,1878496.91180999996,174519.101,"0","1",15164894.247381,14925.757219,807499.572
"385","3",Brooklyn,"038500","3038500",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047038500","4303",5637.03615433000,1877794.42429000000,174453.889,"0","1",15164894.247381,14925.757219,1652579.357
"386","3",Brooklyn,"038600","3038600",,Gravesend (East)-Homecrest,BK1501,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),"36047038600","4315",7289.72424181000,2704671.01512000011,251270.669,"0","1",15164894.247381,14925.757219,2704671.015
"388","3",Brooklyn,"038800","3038800",,Gravesend (East)-Homecrest,BK1501,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),"36047038800","4315",5947.05624429000,2130565.69633999979,197934.874,"0","1",15164894.247381,14925.757219,2128072.298
"389","3",Brooklyn,"038900","3038900",,Bushwick (West),BK0401,BK04,BK04 Bushwick (CD 4 Equivalent),"36047038900","4304",6785.37954349000,1753535.47123000002,162909.968,"0","1",15164894.247381,14925.757219,3808.804
"390","3",Brooklyn,"039000","3039000",,Gravesend (East)-Homecrest,BK1501,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),"36047039000","4315",6671.63475931000,1871799.72445999994,173894.870,"0","1",15164894.247381,14925.757219,1002040.207
"391","3",Brooklyn,"039100","3039100",,Bushwick (West),BK0401,BK04,BK04 Bushwick (CD 4 Equivalent),"36047039100","4304",6244.83346744000,1788881.25438999990,166193.728,"0","1",15164894.247381,14925.757219,472644.247
"392","3",Brooklyn,"039200","3039200",,Gravesend (East)-Homecrest,BK1501,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),"36047039200","4315",5599.31121532000,1875666.60551999998,174254.191,"0","1",15164894.247381,14925.757219,1325166.752
"394","3",Brooklyn,"039400","3039400",,Gravesend (East)-Homecrest,BK1501,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),"36047039400","4315",7000.16525508000,2067691.62507999991,192093.880,"0","1",15164894.247381,14925.757219,1619101.981
"396","3",Brooklyn,"039600","3039600",,Gravesend (East)-Homecrest,BK1501,BK15,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),"36047039600","4315",5569.96021260000,1757819.25313999993,163305.910,"0","1",15164894.247381,14925.757219,1757819.253
"397","3",Brooklyn,"039700","3039700",,Bushwick (East),BK0402,BK04,BK04 Bushwick (CD 4 Equivalent),"36047039700","4304",6560.68172013000,1712820.50019000005,159127.238,"0","1",15164894.247381,14925.757219,1712820.500
