CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,calculated,id,Station ID,area,perimeter,DepArea
"270","3",Brooklyn,"027000","3027000",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027000","4311",5255.80105569000,1444005.62538000010,134151.992,"0","1",15164894.247381,14925.757219,2018.500
"271","3",Brooklyn,"027100","3027100",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027100","4303",9428.07724880000,2660204.62183000008,247142.407,"0","1",15164894.247381,14925.757219,771921.417
"272","3",Brooklyn,"027200","3027200",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027200","4311",7299.79762729000,1422363.35021999991,132141.412,"0","1",15164894.247381,14925.757219,821024.585
"273","3",Brooklyn,"027300","3027300",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027300","4303",5273.31394926000,1611451.02047000010,149709.527,"0","1",15164894.247381,14925.757219,330899.690
"274","3",Brooklyn,"027400","3027400",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027400","4311",6175.27619858000,1758627.16094000009,163381.298,"0","1",15164894.247381,14925.757219,1749823.516
"275","3",Brooklyn,"027500","3027500",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027500","4303",5390.78759809000,1743574.46279000002,161984.312,"0","1",15164894.247381,14925.757219,1179734.625
"276","3",Brooklyn,"027600","3027600",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027600","4311",6258.67839349000,1607864.54404999991,149375.034,"0","1",15164894.247381,14925.757219,1607864.544
"277","3",Brooklyn,"027700","3027700",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027700","4303",5391.76561111000,1745688.01554999989,162180.716,"0","1",15164894.247381,14925.757219,255454.753
"278","3",Brooklyn,"027800","3027800",,Bensonhurst,BK1101,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047027800","4311",6104.40787558000,1727742.16837000009,160511.901,"0","1",15164894.247381,14925.757219,1587633.984
"279","3",Brooklyn,"027900","3027900",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047027900","4303",5389.74561138000,1743088.08862999990,161939.220,"0","1",15164894.247381,14925.757219,6028.396
"280","3",Brooklyn,"028000","3028000",,Bath Beach,BK1102,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028000","4311",6067.52343234000,1494252.23922000010,138819.961,"0","1",15164894.247381,14925.757219,873584.861
"281","3",Brooklyn,"028100","3028100",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047028100","4303",5389.33857657000,1743468.24279000005,161974.583,"0","1",15164894.247381,14925.757219,510622.973
"282","3",Brooklyn,"028200","3028200",,Bath Beach,BK1102,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),"36047028200","4311",6197.33279793000,1811479.72949999990,168291.192,"0","1",15164894.247381,14925.757219,1078204.344
"283","3",Brooklyn,"028300","3028300",,Bedford-Stuyvesant (East),BK0302,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),"36047028300","4303",4848.73849270000,1311680.66680000001,121859.967,"0","1",15164894.247381,14925.757219,33530.553
